PID    | SYSCALL_NAME   | RETURN_VALUE | ELAPSED_TIME (s)
17147  | close            | 16           | 0.008078
17147  | ioctl            | 16           | 0.008170
17147  | ioctl            | 257          | 0.008267
17147  | openat           | 5            | 0.008349
17147  | fstat            | 217          | 0.008427
17147  | unknown          | 217          | 0.008547
17147  | unknown          | 3            | 0.008621
17147  | close            | 5            | 0.008740
17147  | fstat            | 1            | 0.008814
17147  | write            | 1            | 0.008901
17147  | write            | 1            | 0.009001
17147  | write            | 3            | 0.009124
17147  | close            | 3            | 0.009203
17147  | close            | 231          | 0.009320
17200  | execve           | 12           | 0.001329
17200  | brk              | 9            | 0.001567
17200  | mmap             | 21           | 0.001703
17200  | access           | 257          | 0.001949
17200  | openat           | 5            | 0.002068
17200  | fstat            | 9            | 0.002175
17200  | mmap             | 3            | 0.002321
17200  | close            | 257          | 0.002457
17200  | openat           | 0            | 0.002553
17200  | read             | 5            | 0.002654
17200  | fstat            | 9            | 0.002789
17200  | mmap             | 9            | 0.002921
17200  | mmap             | 9            | 0.003042
17200  | mmap             | 9            | 0.003250
17200  | mmap             | 9            | 0.003492
17200  | mmap             | 3            | 0.003679
17200  | close            | 257          | 0.003867
17200  | openat           | 0            | 0.004045
17200  | read             | 17           | 0.004216
17200  | unknown          | 5            | 0.004368
17200  | fstat            | 17           | 0.004471
17200  | unknown          | 9            | 0.004616
17200  | mmap             | 9            | 0.004832
17200  | mmap             | 9            | 0.005054
17200  | mmap             | 9            | 0.005206
17200  | mmap             | 9            | 0.005398
17200  | mmap             | 3            | 0.005605
17200  | close            | 257          | 0.005840
17200  | openat           | 0            | 0.006012
17200  | read             | 5            | 0.006157
17200  | fstat            | 9            | 0.006304
17200  | mmap             | 9            | 0.006532
17200  | mmap             | 9            | 0.006660
17200  | mmap             | 9            | 0.006763
17200  | mmap             | 3            | 0.006917
17200  | close            | 9            | 0.007119
17200  | mmap             | 158          | 0.008001
17200  | unknown          | 218          | 0.008356
17200  | set_tid_address  | 273          | 0.008486
17200  | unknown          | 334          | 0.008576
17200  | unknown          | 10           | 0.008854
17200  | mprotect         | 10           | 0.008986
17200  | mprotect         | 10           | 0.009164
17200  | mprotect         | 10           | 0.009351
17200  | mprotect         | 10           | 0.009466
17200  | mprotect         | 302          | 0.009605
17200  | unknown          | 11           | 0.009753
17200  | munmap           | 137          | 0.009905
17200  | unknown          | 137          | 0.010005
17200  | unknown          | 318          | 0.010101
17200  | getrandom        | 12           | 0.010186
17200  | brk              | 12           | 0.010268
17200  | brk              | 257          | 0.010374
17200  | openat           | 5            | 0.010469
17200  | fstat            | 0            | 0.010553
17200  | read             | 0            | 0.010660
17200  | read             | 3            | 0.010741
17200  | close            | 21           | 0.010873
17200  | access           | 257          | 0.011064
17200  | openat           | 5            | 0.011885
17200  | fstat            | 9            | 0.011997
17200  | mmap             | 3            | 0.012149
17200  | close            | 16           | 0.012346
17200  | ioctl            | 16           | 0.012442
17200  | ioctl            | 257          | 0.012581
17200  | openat           | 5            | 0.012681
17200  | fstat            | 217          | 0.012810
17200  | unknown          | 217          | 0.013087
17200  | unknown          | 3            | 0.013274
17200  | close            | 5            | 0.013524
17200  | fstat            | 1            | 0.013682
17200  | write            | 1            | 0.013884
17200  | write            | 1            | 0.014085
17200  | write            | 3            | 0.014312
17200  | close            | 3            | 0.014466
17200  | close            | 231          | 0.014719
20719  | execve           | 12           | 0.034854
20719  | brk              | 9            | 0.047437
20719  | mmap             | 21           | 0.047803
20719  | access           | 257          | 0.048055
20719  | openat           | 5            | 0.048272
20719  | fstat            | 9            | 0.048469
20719  | mmap             | 3            | 0.048671
20719  | close            | 257          | 0.048895
20719  | openat           | 0            | 0.049096
20719  | read             | 17           | 0.049556
20719  | unknown          | 5            | 0.049823
20719  | fstat            | 17           | 0.050038
20719  | unknown          | 9            | 0.050229
20719  | mmap             | 9            | 0.050433
20719  | mmap             | 9            | 0.050694
20719  | mmap             | 9            | 0.051162
20719  | mmap             | 9            | 0.051578
20719  | mmap             | 3            | 0.052116
20719  | close            | 9            | 0.052547
20719  | mmap             | 158          | 0.052962
20719  | unknown          | 218          | 0.053303
20719  | set_tid_address  | 273          | 0.053803
20719  | unknown          | 334          | 0.054126
20719  | unknown          | 10           | 0.054720
20719  | mprotect         | 10           | 0.055069
20719  | mprotect         | 10           | 0.055469
20719  | mprotect         | 302          | 0.055846
20719  | unknown          | 11           | 0.056113
20719  | munmap           | 318          | 0.056440
20719  | getrandom        | 12           | 0.056674
20719  | brk              | 12           | 0.056857
20719  | brk              | 257          | 0.057074
20719  | openat           | 5            | 0.057262
20719  | fstat            | 9            | 0.057438
20719  | mmap             | 3            | 0.057651
20719  | close            | 79           | 0.057983
20719  | unknown          | 5            | 0.058192
20719  | fstat            | 1            | 0.058405
20719  | write            | 3            | 0.058666
20719  | close            | 3            | 0.058902
20719  | close            | 231          | 0.059106
